time,pitch,roll,label
1736849800,1,-3,2
1736849800,3,-5,2
1736849800,4,-7,2
1736849800,3,-8,2
1736849801,4,-8,2
1736849801,4,-9,2
1736849801,4,-7,2
1736849801,1,-5,2
1736849801,-1,-5,2
1736849802,-4,-8,2
1736849802,-5,-8,2
1736849802,-4,-8,2
1736849802,0,-7,2
1736849802,2,-9,2
1736849803,3,-10,2
1736849803,3,-11,2
1736849803,3,-11,2
1736849803,4,-12,2
1736849803,4,-12,2
1736849804,4,-11,2
1736849804,4,-10,2
1736849804,4,-9,2
1736849804,3,-9,2
1736849804,3,-9,2
1736849805,3,-9,2
1736849805,2,-9,2
1736849805,2,-9,2
1736849805,3,-10,2
1736849805,4,-10,2
1736849806,6,-10,2
1736849806,6,-11,2
1736849806,6,-12,2
1736849806,6,-13,2
1736849806,5,-14,2
1736849807,5,-15,2
1736849807,5,-16,2
1736849807,5,-16,2
1736849807,6,-15,2
1736849807,6,-14,2
1736849808,6,-13,2
1736849808,7,-13,2
1736849808,8,-13,2
1736849808,7,-13,2
1736849808,6,-13,2
1736849809,6,-13,2
1736849809,6,-13,2
1736849809,7,-14,2
1736849809,7,-14,2
1736849809,7,-15,2
1736849810,7,-16,2
1736849810,7,-17,2
1736849810,7,-17,2
1736849849,-3,-4,3
1736849849,-3,-4,3
1736849850,-3,-3,3
1736849850,-3,-4,3
1736849850,-2,-4,3
1736849850,1,-4,3
1736849851,3,-4,3
1736849851,4,-4,3
1736849851,5,-4,3
1736849851,3,-4,3
1736849851,0,-5,3
1736849852,-5,-4,3
1736849852,-8,-5,3
1736849852,-11,-5,3
1736849852,-14,-5,3
1736849852,-16,-6,3
1736849853,-17,-6,3
1736849853,-15,-6,3
1736849853,-11,-5,3
1736849853,-7,-4,3
1736849853,-5,-4,3
1736849854,-4,-3,3
1736849854,-5,-3,3
1736849854,-4,-6,3
1736849854,-4,-6,3
1736849854,-6,-6,3
1736849855,-5,-7,3
1736849855,-4,-8,3
1736849855,-4,-9,3
1736849855,-3,-10,3
1736849855,-4,-9,3
1736849856,-4,-9,3
1736849856,-6,-8,3
1736849856,-9,-8,3
1736849856,-11,-7,3
1736849856,-12,-6,3
1736849857,-12,-6,3
1736849857,-13,-6,3
1736849857,-13,-6,3
1736849857,-11,-6,3
